group,rank,address,account_value,bps,allTime_pnl,allTime_vlm,month_pnl,month_vlm
SMART,150,0x68a82030ee49af0dd0d1880da1aa18e0e97f003c,198364.28144,40.45371807753371,125463.17144,31014002.52,21307.904788,5399194.91
SMART,151,0xa61186ef4cc522028546cb79761c4c8dd65c6c3b,121506.348782,40.42789616830977,202147.048782,50001871.96,157849.868579,23116411.87
SMART,152,0x916e44473f986d82b8a8e47e51b919e0b855942c,760717.634148,40.4081689255161,854334.594148,211426208.33,111798.18274,1575604.45
SMART,153,0x770493a14c49ea81192b5191a536f0530041311b,3372410.240593,40.39012704786175,378983.500593,93830727.53,-502798.006352,10030623.31
SMART,154,0x215d41b79d0aa6a8cf5f25377a88b612746af80a,378111.951385,40.365609027671006,654498.271385,162142548.36,57239.440587,15258952.26
SMART,155,0xb00b18b3bf6ecc43e6235ee69424d4a220437a4d,195923.593733,40.30733474469539,396588.763733,98391214.96,91956.349287,5619634.77
SMART,156,0x36c097864a03c7f0215c0d43165a734152a12e0b,495246.983114,40.26143595474621,485474.343114,120580483.93,167459.65641,14892000.34
SMART,157,0x541e077ac38c56d7bf590924d249c60b0c80071d,2479514.65515,40.25928747846362,566573.74515,140731190.4,-119337.19654,26419028.2
SMART,158,0xae2445cdc416b6a70bbf84a8678a13ea6003e7f8,33035.315223,40.23313024383754,317438.845223,78899862.7,7180.168486,2754979.18
SMART,159,0x9895ea2d96cb41d03f6efc76def2ae0186254734,147443.167855,40.18694947830295,97305.787855,24213280.46,97305.787855,24213280.46
SMART,160,0x8c364082b2d8151ef4e06f6b6cef395030c9bc00,407090.3104959999,40.033464254872,133920.220496,33452068.910000004,55764.893902,7155193.529999999
SMART,161,0x27c3d759e2c02b6bbd999a387f2eb67a6fbcaeed,479512.502778,39.98228106404101,509050.632778,127319057.14999999,121958.789571,24632597.55
SMART,162,0x337189f12dccb10013de352f56ba34dc91b580d3,301513.325764,39.90146444035314,231776.045764,58087102.57,136068.511192,22759206.4
SMART,163,0x29516dcf8b40718a5ef925981768d43277fa89e0,402857.009768,39.8643317806927,527849.499768,132411475.67,23268.315417,9523174.78
SMART,164,0x2498f9215823377383b542e00863c26bc855e8a1,100333.08318,39.82729775334561,99405.90318,24959238.71,26995.677863,10375598.0
SMART,165,0xf770f371cc66499a89ae56aa84f9506e083f99ea,592693.218796,39.8201939906786,1181871.588796,296802067.08,238021.352271,42286547.37
SMART,166,0x046b6365a06df14ff841e9e3110234b36f956b3e,52641.896971,39.76054513723363,54515.926971,13711061.25,18044.111549,1329763.54
SMART,167,0x7f47bf4025bd2178741058a10cd829e406ef4d0c,5515594.88891,39.72169324807233,1093275.30891,275233812.94,817924.343091,26658116.49
SMART,168,0x071e87601bc8d24b8c1ceeca5136ece09d8cc670,55988.905721,39.667803731462705,55867.725721,14083896.88,1759.96778,1072421.01
SMART,169,0x1d3afb2c2761b2891045a55549a656f0946f5da7,175120.46925,39.62350304557512,111120.99925,28044213.84,50465.752573,2844778.33
SMART,170,0xe8a6d3a362212605b1076f3c1653a3f6c6c41cbc,352960.909936,39.55735792459624,93943.939936,23748790.33,52411.029004,2309479.04
SMART,171,0x2fad08babf5a3060f7ffcd77968cd3eede64f5e7,120190.354509,39.36962656652858,61843.534509,15708438.18,61843.534509,15708438.18
SMART,172,0x194a3c3dea1c9e90f164109fecc649767dc99870,458364.057478,39.3577324501657,266287.277478,67658185.8,238716.592733,4975436.69
SMART,173,0xc42cebb3f484048795b573aa7c12c3017c0125ff,128654.253611,39.31418319848165,56039.883611,14254368.03,39461.645674,4840924.88
SMART,174,0x346fcc8d0e0771f7cb5605fd08e96e57d05daede,84528.499467,39.31046100026647,44972.779467,11440410.09,-54558.517639,3546045.97
SMART,175,0x76c2164fc79492401db1890db0d17d16b9155aa0,198432.380651,39.25135214892975,1905074.890651,485352678.66,36661.241675,2908685.94
SMART,176,0x004593cdface692ccbc2733b775f624ed0ad703b,167017.519594,39.24014051382076,60155.96,15330210.14,-47645.46,5353092.01
SMART,177,0x0149804a7c4c0d4d08f4c86d37c2fa1d3cadabdb,43585.973955,39.20084546109353,110916.623955,28294446.88,21443.867525,15342228.89
SMART,178,0x45aac70ff629f33cb0e193b4293440e0e74915e8,62199.021914,39.17792097882456,41269.661914,10533908.1,14112.03981,4893444.11
