group,rank,address,account_value,bps,allTime_pnl,allTime_vlm,month_pnl,month_vlm
SMART,1,0x7f5653978d3f1b9716140bb7304c7e4650ae50f6,108450.477247,49.991567105779716,84364.587247,16875763.68,34241.557849,4606098.23
SMART,2,0xdf57c6827cac4ebe4ad60434388da1fd0c4c93f5,1226181.348188,49.86697442912139,141364.799193,28348381.03,176676.912177,1240311.14
SMART,3,0x188f6da1525b63e434d0c6c11c5c9e7bd953f3a8,501152.725463,49.7974212614569,105283.445463,21142348.900000002,35876.854778,1103396.9
SMART,4,0x967c1b8d3777d16e3dd576a708ad69722b892acf,170006.984983,49.715247740493155,120091.734983,24155916.03,58488.839263,1042961.89
SMART,5,0x017ddfd4c44ee369ebced68db13358c015e9a42d,218902.297065,49.535939107379384,143794.197065,29028256.99,1310.896278,1117459.84
SMART,6,0x86d2161a18a6eb5be550d5253496e5a161cdf731,341990.94231,49.52705264098746,665105.04231,134291262.42,174687.704885,16455612.83
SMART,7,0x144f36e97bde16223962035f219f9047d0f3558c,29463.841461,49.519898609729175,170928.831461,34517201.42,141456.899285,30802710.92
SMART,8,0x5461e3a694004602961722522e70f62beb05ae65,382953.021603,49.44350445812465,376396.481603,76126578.35,57922.332449,9468716.61
SMART,9,0x97580b4ecc2fbddf4d2f2bb855265758fcd1967d,690151.519244,49.37992518774188,200109.509244,40524465.86,60910.833215,26448673.17
SMART,10,0x523979b277a398574a81da1d3511cb84823ce040,75109.458145,49.36024690222822,68536.458145,13884950.43,13392.847027,3793268.08
SMART,11,0x89a9efa0a0cc59b4b9a9d0d8c4b5ca846ce11ae9,112666.701784,49.35377852963679,280670.681784,56869137.51,25045.474939,6873311.39
SMART,12,0xff8876f6524ffdbbc985e0cde7005d191050fc6e,122001.339668,49.3124178814676,97105.749668,19691946.54,26809.547367,3156330.23
SMART,13,0x18657be4793cee1962d561e554abd5ef7906f0cc,42136.672395,49.3057260516262,103641.972395,21020271.01,6753.116294,2456999.56
SMART,14,0xa5eb910ec9176dc15c8419616e19e2ff0100dbdd,178726.725177,49.27854303498909,153919.575177,31234603.48,50987.935897,3859899.26
SMART,15,0xc46ab9b1644b5ac97c0266bfdf49949f579a3109,140525.920549,49.26963623564235,173754.420549,35266024.64,89161.682379,24156994.05
SMART,16,0x26ad8234b6f0171c7bddd2df353b71dac73158c2,142592.467714,49.26802647212827,84462.497714,17143470.88,65263.326875,2302500.61
SMART,17,0xb3e475368ed0fa0ad23c04de0423d48a0758806f,5745476.201322,49.25756927913815,12846803.201322,2608087120.2799997,-476367.152398,14254305.16
SMART,18,0x4bf6a5ead2dd225ae1191e6c1ce3bba3a3e51af4,21143.001669,49.1519993921633,227949.941669,46376534.93,-7802.653346,1343912.25
SMART,19,0x538d89d131b56c7736be4e2eeedc3c51463980de,1107952.291904,49.146446209342734,569584.611904,115895381.22,569584.611904,115895381.22
SMART,20,0xaeaab54bbf65bfd6efed7d2eb68372298e3c2416,21661368.058676,48.95864226873753,8637711.438676,1764287373.67,5974795.762543,484391678.01
SMART,21,0xfb8c34145bdea190693325d0ab01e81120909b3f,656914.3492599999,48.88346219208325,8531080.88926,1745187535.15,-250989.87392,3315929.18
SMART,22,0x7160478f633cc9d12f4f947954857abebaf4ea3a,153265.463646,48.8338069065117,63980.653646,13101713.28,41405.088017,1361438.7
SMART,23,0xe1b2155b8fbc16c1146d5d16247896f06f68686e,1043281.57037,48.79471363658937,514211.64037,105382653.58,43281.970356,12301699.37
SMART,24,0x8b2fd6b5c661d2e1fbb6d9df162f2b5f3b1d3d11,150066.432865,48.77411582882528,989575.912865,202889564.69,112745.757251,2905794.06
SMART,25,0xe4a5a7f7931ca63d6505a535edec6185660bc731,180344.254211,48.648973573332974,221184.234211,45465344.48,47600.76385,13672832.16
SMART,26,0xcf225f1b26a09f5ef86922d4c0f248df8f0bdb33,39925.994596,48.60657592575871,215858.454596,44409310.98,-1366.959962,2868660.04
SMART,27,0x7f37352bf6d74da8228b466c42466c290bb17c54,137247.32451,48.59652180821795,123756.51451,25466125.95,54310.967782,2882022.23
SMART,28,0x3e9b19ba0f26ed8ddedb3a5fb310aab0dd790dab,457908.287237,48.50694631031907,132037.687237,27220366.83,81173.559651,4534300.82
SMART,29,0xb919448d2f1797e5d9e7b9e88cd909a5089e6d4e,1013370.360311,48.494055015213995,1336093.000311,275516864.88,98822.260297,3471265.03
SMART,30,0x48c6aaa647ad5197e85797f8eb95d7b9ce1ec5b6,1272534.880286,48.44947656887796,228066.640286,47073086.53,90268.276625,1329992.96
SMART,31,0x6ba1f2f6075ee01c99aa14960c60db6e28b60264,322040.012794,48.16778692803057,107228.632794,22261482.13,92569.704005,16011324.98
SMART,32,0xdbbdee771e62ab57894e8b8bdefbe094d3135ddd,1831913.2639829998,48.06715859317622,960568.5439829999,199838844.67000002,116382.442708,14168893.38
SMART,33,0x1f793d9f0368c1da329cb112212d81d521e7a9b8,2269454.161665,48.0484820560553,4275298.621665002,889788488.3599998,-61244.142948,11074151.97
SMART,34,0x93696148243b34770bc8ae07030ad9fb7e750138,183831.754076,48.0256273000472,915949.654076,190721018.25,59343.359866,3884993.18
SMART,35,0x9ce4e7e717625aa40113d75601bc66591d021eaa,37141.38051,47.89266067603355,49572.32051,10350713.409999998,7799.907362,2369928.61
SMART,36,0x8230cf5bc3de7f18889fabdb8e649b3c45ff3650,733300.868474,47.80726150103559,532273.163153,111337304.51,-19626.117067,36453461.21
SMART,37,0x1f67d79afc8d0e7609ddba6c9b657cc635f69981,550960.20516,47.79856808001599,2041443.78516,427093083.99,-15209.142498,12325115.52
SMART,38,0xfe47c8f29f65830d7990e85852cc2c5cee1c0085,459229.569892,47.779901089093705,425074.779892,88965186.24,72424.105908,7858253.09
SMART,39,0x16d69a835c012584783921b2e4c622f157ce97bf,384486.725243,47.737695518667536,270929.883381,56753867.24,19476.138254,9035072.27
SMART,40,0x638e96b7a155eb2b0859824f6b4acfedb25bf9bf,295802.360116,47.63882861928942,115561.660116,24257871.88,-62014.060391,1327076.81
SMART,41,0xe44fb21db8a42ac985d5eeb06803c89f833b756f,449364.709459,47.580053213367,60197.539459,12651843.66,40229.454647,7102796.26
SMART,42,0x009fdc047e8771b8be1371fc277468a9547220f8,118118.609045,47.57083960083818,61423.609045,12912029.63,21299.780542,3517160.34
SMART,43,0xe06142615991dee64ca813085779fadcc70431eb,242934.779098,47.556724843892006,92522.909098,19455273.55,-319659.946161,4344100.47
SMART,44,0xf48f5097bf6d416e18762faf88d85cc4b20610fe,3153573.260158,47.10436627780441,283068.038648,60093800.43,142982.071727,6459788.12
SMART,45,0x1aa5abfd850012297428b509fb84fcd9f9f995cb,737668.055365,47.068218627758625,660679.575365,140366386.2,3134.118113,10288266.0
