group,rank,address,account_value,bps,allTime_pnl,allTime_vlm,month_pnl,month_vlm
SMART,1,0xf3adc2de54ee9c1ea814f692a9f695c2d0b2b646,225633.746408,49.876362797913984,319938.266408,64146270.59,156216.818151,18191439.48
SMART,2,0x188f6da1525b63e434d0c6c11c5c9e7bd953f3a8,501284.511271,49.85975388524592,105415.231271,21142348.900000002,37954.990838,1103396.9
SMART,3,0x118c6cb819f6a585885241d582f992840fd73de5,719021.798625,49.80317289391777,886420.438625,177984732.12,225537.281309,2833655.11
SMART,4,0xac142fee46f8dacbfef23e1e41d79f1f7233487e,509442.570915,49.79131420072302,291922.190915,58629139.56,79347.741531,15561778.76
SMART,5,0xe4a5a7f7931ca63d6505a535edec6185660bc731,183865.379751,49.68771333795088,224705.359751,45223526.03,38861.388918,13431929.37
SMART,6,0x017ddfd4c44ee369ebced68db13358c015e9a42d,218811.748923,49.53299607952844,143703.648923,29011701.35,9894.729119,1188767.03
SMART,7,0x89a9efa0a0cc59b4b9a9d0d8c4b5ca846ce11ae9,111245.289091,49.421802254719,279249.269091,56503254.91,23877.861543,6507428.79
SMART,8,0xe1b2155b8fbc16c1146d5d16247896f06f68686e,1049653.663858,49.399376099673276,520583.733858,105382653.58,49654.063844,12301699.37
SMART,9,0xc46ab9b1644b5ac97c0266bfdf49949f579a3109,136997.754397,49.32994196859696,170226.254397,34507694.03,78260.079738,23398663.44
SMART,10,0x5461e3a694004602961722522e70f62beb05ae65,380933.133585,49.21665551092796,374376.593585,76067052.85,63295.461958,9409191.11
SMART,11,0xbba1e7473c815825fa3df4c43a80ee597e65c97a,489225.047242,49.13002252376813,94928.997242,19321993.43,-53658.170132,6377000.51
SMART,12,0x4bf6a5ead2dd225ae1191e6c1ce3bba3a3e51af4,20970.523234,49.114808507751526,227777.463234,46376534.93,-6517.249431,1443200.9
SMART,13,0x7f37352bf6d74da8228b466c42466c290bb17c54,138469.574759,49.07953547709132,124978.764759,25464537.01,65733.516938,3236192.25
SMART,14,0xa5eb910ec9176dc15c8419616e19e2ff0100dbdd,177940.561898,49.05447355266788,153133.411898,31217012.6,56008.481674,3915011.82
SMART,15,0xaeaab54bbf65bfd6efed7d2eb68372298e3c2416,21659631.161509,48.94879751672649,8635974.541509,1764287373.67,6151968.052907,484391678.01
SMART,16,0xff8876f6524ffdbbc985e0cde7005d191050fc6e,121270.576893,48.94132060395082,96374.986893,19691946.54,24219.148301,3735209.17
SMART,17,0x47807d3f6ae34ff6aa1fc8fe4e7b742197c1e125,222834.918005,48.856667419953055,286584.478005,58658212.51,33786.959182,5352083.2
SMART,18,0x26ad8234b6f0171c7bddd2df353b71dac73158c2,140831.185399,48.85403021581654,82707.345399,16929482.59,64412.08254,2190439.44
SMART,19,0xef694e8a4ccd8af1235d9720be918f69399c6ea9,213685.899226,48.794190106641295,122840.523087,25175235.58,109414.888109,23088149.05
SMART,20,0xfb8c34145bdea190693325d0ab01e81120909b3f,639060.9762289999,48.781161593027775,8513227.516229,1745187535.15,-224015.317179,3408594.92
SMART,21,0x8b2fd6b5c661d2e1fbb6d9df162f2b5f3b1d3d11,150068.358598,48.774210744155354,989577.838598,202889564.69,108573.434961,2905794.06
SMART,22,0xcf225f1b26a09f5ef86922d4c0f248df8f0bdb33,40075.352209,48.773418583569416,216007.812209,44288019.68,-642.848867,2747368.74
SMART,23,0x18657be4793cee1962d561e554abd5ef7906f0cc,40042.023889,48.75287759453041,101547.323889,20828990.8,5340.441897,2265719.35
SMART,24,0xb3e475368ed0fa0ad23c04de0423d48a0758806f,6598279.871666,48.72723230157668,12699606.871666,2606264766.5,-707882.2122310001,12431951.38
SMART,25,0x55040d3de8b11560533e02179948c06ce99f5efa,65334.632302,48.68719783346327,74892.832302,15382448.7,46192.993374,5819908.91
SMART,26,0x3c165893deaaf04ac79f4f959594747b6ef77e92,311666.661156,48.6507460386663,595945.651156,122494658.29,-51251.600382,4778818.48
SMART,27,0x16d69a835c012584783921b2e4c622f157ce97bf,386350.024326,48.60232021779427,273956.542504,56366967.93,24651.3551,8648172.96
SMART,28,0x0c156975b3e10cccbb041d35dc14b0a10649f55a,529671.136226,48.45730444767856,407256.896226,84044480.16,84198.915949,8585865.33
