open_time,open,high,low,close
1581321600000,0.00988799,0.02182540,-0.00153170,0
1581325200000,0.00163102,0.00772767,-0.00034875,0.00617537
1581328800000,0.00835317,0.01010101,0.00143950,0.01010101
1581332400000,0.00713762,0.00886509,0.00209869,0.00484044
1581336000000,0.00330759,0.00939687,0.00029115,0.00417687
1581339600000,0.00561465,0.00809148,0,0.00418060
1581343200000,0.00419784,0.00552478,0,0.00018130
1581346800000,0.00092955,0.00206194,-0.00000819,0
1581350400000,0,0.00489047,0,0.00171942
1581354000000,0.00183414,0.00695111,0.00183414,0.00301716
1581357600000,0.00313625,0.00424352,0.00189568,0.00189568
1581361200000,0.00190397,0.00289197,0.00103484,0.00152952
1581364800000,0.00152317,0.00168908,0.00024752,0.00146032
1581368400000,0.00164903,0.00378168,0.00051048,0.00165572
1581372000000,0.00076159,0.00398406,0.00046162,0.00179065
1581375600000,0.00123269,0.00302741,0.00017136,0.00103149
1581379200000,0.00146098,0.00505093,0.00141711,0.00141711
1581382800000,0.00141375,0.00394340,0.00127237,0.00206169
1581386400000,0.00121178,0.00547192,0.00114898,0.00371294
1581390000000,0.00370625,0.00815578,0.00136368,0.00608086
1581393600000,0.00685985,0.00927749,0.00112532,0.00350577
1581397200000,0.00471398,0.00579337,0.00083570,0.00267380
1581400800000,0.00308642,0.00679925,0.00143089,0.00319063
1581404400000,0.00309612,0.00348459,0.00001683,0.00086559
1581408000000,-0.00023639,0.00262002,-0.00023639,0.00166114
1581411600000,0.00228614,0.00412782,0.00067972,0.00196500
1581415200000,0.00195955,0.00336476,0.00034073,0.00163840
1581418800000,0.00154114,0.00206453,0.00020018,0.00020018
1581422400000,0.00103774,0.00244587,0.00040980,0.00098522
1581426000000,0.00097978,0.00428850,0.00074270,0.00188464
1581429600000,0.00215854,0.00519746,0.00018044,0.00263021
1581433200000,0.00299844,0.00591289,0.00120519,0.00506163
1581436800000,0.00522227,0.01250752,0.00322624,0.00523903
1581440400000,0.00534122,0.00860371,0.00356582,0.00720094
1581444000000,0.00683609,0.01331684,0.00239813,0.00244625
1581447600000,0.00306522,0.00781512,0.00241382,0.00303662
1581451200000,0.00316662,0.00448228,0.00058671,0.00058671
1581454800000,0.00073708,0.00212252,-0.00025370,0.00039222
1581458400000,0.00038898,0.00241706,0.00019650,0.00082288
1581462000000,0.00059081,0.00161932,-0.00016368,0.00081922
1581465600000,0.00112935,0.00467940,0.00112935,0.00338452
1581469200000,0.00352619,0.00624370,0.00223360,0.00308385
1581472800000,0.00369484,0.00403224,0.00128864,0.00171389
1581476400000,0.00204136,0.00531847,0.00155759,0.00493197
1581480000000,0.00458662,0.00732583,0.00319035,0.00659153
1581483600000,0.00572216,0.00635401,0.00084376,0.00181525
1581487200000,0.00090576,0.00178750,-0.00009749,0.00041508
1581490800000,0.00082469,0.00326044,0.00000680,0.00000680
1581494400000,0.00048738,0.00359916,0.00048738,0.00166926
1581498000000,0.00194537,0.00317009,0.00118403,0.00167210
1581501600000,0.00166746,0.00383645,0.00073412,0.00139419
1581505200000,0.00136187,0.00601717,0.00124555,0.00445494
1581508800000,0.00451959,0.00679467,-0.00185967,0.00083836
1581512400000,-0.00113543,0.00196487,-0.00268901,0.00108248
1581516000000,0.00117337,0.00227043,-0.00024190,0.00001951
1581519600000,0.00009440,0.00141922,-0.00059669,0.00070588
1581523200000,0.00148744,0.00340628,0.00022603,0.00108086
1581526800000,0.00152714,0.00162437,0.00071913,0.00092681
1581530400000,0.00092425,0.00278986,0.00019927,0.00083935
1581534000000,0.00191563,0.00477999,0.00074197,0.00199110
1581537600000,0.00184214,0.00436919,-0.00027921,0.00046469
1581541200000,0.00046212,0.00185397,-0.00141919,0.00031065
1581544800000,0.00030808,0.00251088,0.00023620,0.00229885
1581548400000,0.00241171,0.00354747,0.00001284,0.00052538
1581552000000,0.00105185,0.00671998,0.00060040,0.00518857
1581555600000,0.00533297,0.00710310,0.00270005,0.00657927
