report_time,open_interest_all,dealer_positions_long_all,dealer_positions_short_all,asset_mgr_positions_long,asset_mgr_positions_short,lev_money_positions_long,lev_money_positions_short,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
1728345600000,29382,1202,4234,9632,359,1980,20828,13007,810,1250,840
1728950400000,34494,11766,4400,10112,540,2795,23179,3786,746,1405,999
1729555200000,33562,11972,4402,9535,528,3054,23303,3933,792,1518,987
1730160000000,33787,12506,4409,10072,546,3745,24660,3487,822,1441,814
1730764800000,32011,12401,4350,9865,598,3484,22738,2214,808,1443,913
1731369600000,38531,14935,4966,11083,947,4830,25189,1579,1972,1604,957
1731974400000,41203,14936,5097,11393,947,4914,25022,1628,2595,1833,1043
1732579200000,40510,13795,5204,11119,960,5300,24505,1282,1517,1667,977
1733184000000,37021,14397,4705,11038,922,4094,25749,2584,1292,1600,1045
1733788800000,37588,14698,4747,10889,828,4657,25643,2254,1764,1627,1143
1734393600000,42524,16088,4682,11452,854,3653,26850,3148,2267,1639,1327
1734998400000,37125,15216,3993,10767,781,4140,25242,1556,1938,1336,1061
1735603200000,33893,14154,2988,10520,750,3771,23835,897,2132,1326,963
1736208000000,35079,14648,3469,10244,705,4035,25239,1336,1068,1347,1129
1736812800000,35471,14359,3600,10346,527,3877,25213,1567,994,1304,1119
1737417600000,38556,15435,3808,11151,512,2596,25465,1321,986,1486,1218
1738022400000,34317,14591,3167,10212,675,3497,25715,1708,759,1661,1353
1738627200000,32892,14123,3208,9863,616,3542,24540,1501,797,1329,1197
1739232000000,32949,13785,3316,9494,686,3361,23444,1477,731,1447,1387
1739836800000,33833,13667,3250,9175,832,4032,23814,1657,861,1519,1293
1740441600000,32060,12226,2474,8737,512,3849,23048,1907,742,1480,1423
1741046400000,28209,11694,2780,8324,433,2809,21286,2383,613,1186,1284
1741651200000,28545,11145,2803,7930,596,2547,20818,3433,610,1114,1342
1742256000000,30213,10537,3058,7653,693,3381,21349,4241,618,1298,1392
1742860800000,29036,11044,3228,8235,644,1825,20637,4060,626,1207,1236
1743465600000,27069,10410,3687,7991,599,1963,19104,3793,582,1077,1262
1744070400000,26909,9337,4464,7378,728,2883,16828,3333,476,985,1420
1744675200000,27126,9966,4414,7300,559,888,15328,2991,526,1017,1335
1745280000000,28202,10821,4540,8105,904,1983,18186,3160,633,1253,1059
1745884800000,26966,11110,4826,8128,509,2162,18060,2315,636,1307,991
1746489600000,27971,10710,4670,7805,423,3156,19432,3247,633,1360,1120
1747094400000,29070,11319,4845,8623,451,3043,17182,2453,2239,1276,1997
1747699200000,32033,11892,4747,8943,439,3128,17839,2297,3495,1466,1206
1748304000000,31964,12439,4594,9148,414,3525,18786,1650,3470,1554,1052
1748908800000,29758,12040,4674,8591,449,4040,18484,1820,3247,1341,978
1749513600000,30261,11925,4708,8737,525,3649,18785,2667,3228,1529,1261
1750118400000,30860,11360,4027,8675,551,3782,18800,2439,3200,1500,1178
1750723200000,31352,11329,3988,8747,516,3429,19112,2868,3226,1497,1028
1751328000000,29388,10627,4194,8519,549,3712,18353,3015,3231,1338,884
1751932800000,29591,10805,4252,8955,516,3940,18764,2520,3244,1483,927
1752537600000,31309,11046,3795,9199,465,5258,19605,1039,3236,1629,1070
1753142400000,30797,11105,2894,9131,458,4724,19707,1101,3607,1710,1105
1753747200000,28068,10763,2165,9003,455,3776,19584,1409,3225,1467,989
1754352000000,27561,9679,2278,8379,420,4889,18987,1656,3224,1460,1154
1754956800000,27851,9998,1912,8858,420,4120,19736,1699,3231,1624,1000
1755561600000,28971,9521,1926,8401,439,4322,19148,1980,3153,1493,1051
1756166400000,27481,9670,1727,8397,441,3581,18587,2187,3172,1382,1290
1756771200000,26684,9432,1984,8709,510,2848,18170,2631,3209,1189,936
1757376000000,26930,9458,2301,8560,714,3754,18505,2384,3048,1263,851
1757980800000,28844,9976,2326,9038,771,2958,19327,2967,2948,1323,890
1758585600000,27809,9454,2630,8612,727,3623,18016,2459,3021,1245,999
1759190400000,26874,9294,3017,8734,609,3010,16883,2822,3537,1280,1094
1759795200000,29001,9554,3195,9212,612,3383,17430,2783,3927,1300,1068
1760400000000,28503,9496,3169,8651,608,4039,17470,2819,4082,1411,1087
1761004800000,28477,9639,3035,8475,633,3138,17140,3224,4137,1517,1048
