snap_time,spot,expiry_used,days_to_expiry,atm_iv,put10_iv,call10_iv,skew10_put_minus_call,put_call_oi_ratio_45d,total_oi_45d,max_oi_put_strike_45d,max_oi_call_strike_45d
1790172491293,2719.71,2026-10-30,36.74,50.63,52.06,51.36,0.7000000000000028,0.6986,1061962.0,2100.0,3000.0
1790175205607,2683.46,2026-10-30,36.71,50.84,52.4,51.63,0.769999999999996,0.7022,1073632.0,2100.0,3000.0
1790217596364,2691.76,2026-10-30,36.22,49.93,51.45,51.15,0.30000000000000426,0.7091,1092188.0,2100.0,3000.0
1790273401452,2682.1,2026-10-30,35.58,49.53,50.8,50.63,0.1699999999999946,0.7152,1093177.0,2100.0,3000.0
1790304055020,2689.76,2026-10-30,35.22,49.38,51.19,50.32,0.8699999999999974,0.7238,1101655.0,2100.0,3000.0
1790316359100,2687.33,2026-10-30,35.08,49.27,51.36,50.07,1.2899999999999991,0.7247,1105175.0,2100.0,3000.0
1790325689840,2695.25,2026-10-30,34.97,48.57,49.84,49.4,0.44000000000000483,0.8798,320213.0,2300.0,3000.0
