open_time,open,high,low,close
1577836800000,-0.00012513,0.00009792,-0.00072498,-0.00012273
1577840400000,-0.00030767,0.00052801,-0.00083369,0.00004035
1577844000000,0.00007500,0.00007500,-0.00120146,-0.00004208
1577847600000,0.00006250,0.00006250,-0.00156047,-0.00013513
1577851200000,-0.00021592,0.00004917,-0.00059712,-0.00034111
1577854800000,-0.00052174,-0.00008978,-0.00063548,-0.00046174
1577858400000,-0.00028127,0.00002292,-0.00095144,-0.00069309
1577862000000,-0.00078466,-0.00021446,-0.00170883,-0.00102891
1577865600000,-0.00094652,-0.00000321,-0.00101883,-0.00000321
1577869200000,-0.00069412,-0.00010344,-0.00128761,-0.00125235
1577872800000,-0.00145335,-0.00036028,-0.00145335,-0.00052966
1577876400000,-0.00078479,0.00036203,-0.00185200,-0.00159822
1577880000000,-0.00128112,-0.00016924,-0.00128112,-0.00062760
1577883600000,-0.00007842,0.00002727,-0.00112186,-0.00063345
1577887200000,-0.00068809,-0.00010917,-0.00128854,-0.00090003
1577890800000,-0.00081871,0.00000214,-0.00134891,-0.00065997
1577894400000,-0.00050908,-0.00014143,-0.00089622,-0.00014143
1577898000000,-0.00018233,0.00002436,-0.00096292,-0.00035046
1577901600000,-0.00017515,-0.00011557,-0.00135858,-0.00053775
1577905200000,-0.00051569,-0.00008533,-0.00097723,-0.00031381
1577908800000,-0.00038954,-0.00007122,-0.00071839,-0.00023462
1577912400000,-0.00019008,-0.00004166,-0.00117269,-0.00047340
1577916000000,-0.00015969,-0.00003359,-0.00157034,-0.00007594
1577919600000,-0.00079511,0.00021340,-0.00115298,0.00021340
1577923200000,0.00001906,0.00045694,-0.00064573,0.00004426
1577926800000,0.00004416,0.00004416,-0.00068439,-0.00059890
1577930400000,-0.00070920,0.00037446,-0.00103093,0.00004169
1577934000000,0.00008547,0.00032490,-0.00009098,0.00002534
1577937600000,0.00002523,0.00050698,-0.00031825,-0.00003994
1577941200000,-0.00031536,0.00001787,-0.00034734,-0.00016540
1577944800000,-0.00012730,0.00017432,-0.00054507,0.00010588
1577948400000,0.00000631,0.00026355,-0.00029713,-0.00024299
1577952000000,-0.00024142,0.00010416,-0.00058032,-0.00011544
1577955600000,-0.00020992,0.00008292,-0.00056177,-0.00004923
1577959200000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577962800000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577966400000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577970000000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577973600000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577977200000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577980800000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577984400000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577988000000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577991600000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577995200000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1577998800000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578002400000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578006000000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578009600000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578013200000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578016800000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578020400000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578024000000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578027600000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578031200000,-0.00004923,-0.00004923,-0.00004923,-0.00004923
1578034800000,0.00000081,0.00000938,-0.00092613,-0.00075581
1578038400000,-0.00060497,0.00174494,-0.00142611,-0.00011389
1578042000000,0.00008750,0.00038653,-0.00081654,0.00038653
1578045600000,0.00007500,0.00007500,-0.00108983,-0.00009498
1578049200000,-0.00014112,0.00015878,-0.00145545,0.00005021
1578052800000,-0.00005759,0.00008954,-0.00085574,-0.00047930
1578056400000,-0.00023860,0.00006905,-0.00065767,0.00002521
1578060000000,-0.00010731,0.00002333,-0.00147015,-0.00056108
1578063600000,-0.00056208,0.00000896,-0.00065313,0.00000021
1578067200000,0,0.00014048,-0.00095196,0.00008771
1578070800000,-0.00010617,0.00008312,-0.00104079,-0.00002694
1578074400000,-0.00026253,0.00006833,-0.00098990,0.00006271
1578078000000,0.00006250,0.00006250,-0.00079926,-0.00008412
1578081600000,0.00005000,0.00005000,-0.00104147,-0.00005062
1578085200000,-0.00040848,0.00003562,-0.00090059,-0.00015004
1578088800000,0.00002500,0.00002500,-0.00074646,-0.00016468
1578092400000,-0.00018965,0.00001188,-0.00167415,-0.00044687
1578096000000,0,0.00009938,-0.00120265,-0.00086981
1578099600000,-0.00023565,0.00007854,-0.00088970,0.00001264
1578103200000,-0.00003753,0.00006271,-0.00081578,0.00006271
1578106800000,0.00000745,0.00006229,-0.00040472,-0.00029951
1578110400000,-0.00031071,0.00004354,-0.00140164,-0.00003303
1578114000000,0.00003750,0.00003750,-0.00060776,0.00001655
1578117600000,0.00002500,0.00002500,-0.00105004,-0.00029651
1578121200000,0.00001250,0.00001250,-0.00140467,-0.00057262
1578124800000,-0.00042635,-0.00004934,-0.00091096,-0.00023276
1578128400000,-0.00028532,0.00007896,-0.00050793,-0.00020718
1578132000000,-0.00004983,0.00007458,-0.00048474,-0.00021490
1578135600000,-0.00010511,0.00006104,-0.00049537,0.00005021
1578139200000,-0.00000949,0.00003771,-0.00108399,0.00003771
1578142800000,-0.00061935,0.00003583,-0.00119000,-0.00054958
1578146400000,-0.00063802,0.00001812,-0.00071489,0.00001271
1578150000000,-0.00007630,0.00001188,-0.00080751,-0.00080751
1578153600000,-0.00006297,0.00009542,-0.00073227,0.00002701
1578157200000,0.00000476,0.00008729,-0.00068552,-0.00014235
1578160800000,-0.00021543,0.00077632,-0.00188090,-0.00027625
1578164400000,-0.00002316,0.00010688,-0.00076537,-0.00034508
1578168000000,-0.00038388,0.00004833,-0.00071729,-0.00010808
1578171600000,-0.00021965,0.00007281,-0.00073032,-0.00029776
1578175200000,0.00001163,0.00001854,-0.00049216,-0.00020203
1578178800000,-0.00028970,0.00001104,-0.00061252,-0.00022381
1578182400000,-0.00022264,0.00009979,-0.00075784,-0.00047857
1578186000000,-0.00054110,0.00031124,-0.00060777,-0.00032866
1578189600000,-0.00044335,0.00006729,-0.00100157,-0.00010594
1578193200000,-0.00027925,0.00006229,-0.00042110,0.00005021
1578196800000,-0.00021036,0.00003917,-0.00121303,-0.00047707
1578200400000,-0.00018532,0.00003458,-0.00089153,-0.00089153
1578204000000,-0.00050308,0.00001833,-0.00082185,-0.00022175
1578207600000,-0.00023793,0.00001146,-0.00056230,-0.00013228
1578211200000,0,0.00009938,-0.00081610,0.00003538
1578214800000,-0.00001668,0.00008604,-0.00094539,-0.00012538
1578218400000,-0.00017416,0.00002891,-0.00071472,-0.00017288
1578222000000,-0.00019785,0.00005792,-0.00060563,-0.00037998
1578225600000,-0.00024616,0.00004896,-0.00097255,-0.00074123
1578229200000,-0.00058853,0.00002812,-0.00097392,-0.00020066
1578232800000,-0.00005738,0.00002417,-0.00033781,-0.00000431
1578236400000,-0.00014047,0.00001229,-0.00114705,-0.00032973
1578240000000,-0.00023520,0.00015827,-0.00141137,-0.00010879
1578243600000,-0.00003141,0.00008125,-0.00106535,-0.00021762
1578247200000,-0.00024661,0.00008112,-0.00091502,0.00008112
1578250800000,0.00014345,0.00014345,-0.00089854,-0.00063418
1578254400000,-0.00042338,0.00003814,-0.00065370,-0.00059428
1578258000000,-0.00047573,0.00003646,-0.00140248,-0.00045016
1578261600000,-0.00094324,0.00002250,-0.00098482,-0.00022364
1578265200000,-0.00020328,0.00006814,-0.00074661,0.00000021
1578268800000,0.00000560,0.00009979,-0.00061878,-0.00015518
1578272400000,-0.00014906,0.00023762,-0.00070830,-0.00007693
1578276000000,-0.00037158,0.00069747,-0.00091610,0.00006271
1578279600000,0.00003184,0.00006229,-0.00109680,-0.00026395
1578283200000,-0.00022641,0.00004062,-0.00084257,-0.00034390
1578286800000,-0.00017140,0.00002812,-0.00129132,-0.00010173
1578290400000,-0.00016836,-0.00016836,-0.00111242,-0.00039803
1578294000000,-0.00045076,-0.00005077,-0.00105497,-0.00031022
1578297600000,-0.00033558,0.00058284,-0.00115840,-0.00006282
1578301200000,-0.00022285,0.00008521,-0.00089667,-0.00068108
1578304800000,-0.00003662,0.00066362,-0.00091723,-0.00024197
1578308400000,-0.00020655,0.00031946,-0.00117201,-0.00006242
1578312000000,0.00005000,0.00057688,-0.00112403,-0.00058803
1578315600000,-0.00082892,0.00047665,-0.00111361,0.00013917
1578319200000,0.00002500,0.00027792,-0.00130793,-0.00070835
1578322800000,-0.00089057,-0.00006693,-0.00108321,-0.00072376
1578326400000,-0.00065999,0.00009771,-0.00153180,-0.00067566
1578330000000,-0.00100213,0.00007812,-0.00100213,0.00007521
1578333600000,0.00007500,0.00007500,-0.00100078,-0.00020098
1578337200000,-0.00019139,0.00005188,-0.00060503,0.00005021
1578340800000,-0.00003071,0.00004979,-0.00074072,0.00003771
1578344400000,0.00003750,0.00024303,-0.00123729,-0.00056009
1578348000000,-0.00081251,0.00049480,-0.00096079,0.00001271
1578351600000,-0.00027919,0.00031009,-0.00047780,-0.00011545
1578355200000,-0.00003937,0.00015586,-0.00121308,-0.00027884
1578358800000,0.00008750,0.00019850,-0.00073793,0.00019017
1578362400000,0.00007500,0.00024583,-0.00054005,0.00006271
1578366000000,-0.00030329,0.00028380,-0.00066713,0.00003481
1578369600000,-0.00006292,0.00014124,-0.00054291,0.00003771
1578373200000,0.00003750,0.00014195,-0.00044908,0.00002521
1578376800000,0.00002500,0.00026263,-0.00028375,0.00007786
1578380400000,0.00001250,0.00019575,-0.00026965,0.00000021
1578384000000,0.00004885,0.00032753,-0.00016735,0.00008771
1578387600000,0.00010635,0.00021632,-0.00089919,-0.00021109
1578391200000,-0.00011714,0.00007421,-0.00072786,-0.00024585
1578394800000,-0.00006457,0.00025322,-0.00054469,-0.00048306
1578398400000,-0.00006966,0.00085833,-0.00049856,-0.00013789
1578402000000,-0.00010405,0.00048459,-0.00078396,0.00002521
1578405600000,-0.00020508,0.00042225,-0.00059568,-0.00012680
1578409200000,0.00001250,0.00078538,-0.00100543,-0.00016093
1578412800000,-0.00001969,0.00019199,-0.00103248,-0.00062870
1578416400000,-0.00077222,0.00018198,-0.00127779,0.00007521
1578420000000,0.00007500,0.00041258,-0.00062481,-0.00003955
1578423600000,-0.00035842,0.00114324,-0.00133054,0.00005021
1578427200000,0.00005000,0.00056803,-0.00022443,0.00003771
1578430800000,0.00003750,0.00077426,-0.00028607,0.00006372
1578434400000,0.00002500,0.00102402,-0.00042143,0.00057055
1578438000000,0.00050133,0.00082945,-0.00011540,0.00000021
1578441600000,0,0.00111465,-0.00047080,0.00008771
1578445200000,0.00008750,0.00169414,-0.00063796,0.00007521
1578448800000,0.00007500,0.00041204,-0.00080867,0.00006271
1578452400000,-0.00015561,0.00059960,-0.00063986,0.00005021
1578456000000,-0.00004200,0.00031261,-0.00017319,0.00003771
1578459600000,-0.00018793,0.00033638,-0.00043554,0.00011065
1578463200000,0.00002500,0.00027449,-0.00036583,0.00001271
1578466800000,0.00001250,0.00029646,-0.00119645,-0.00012182
1578470400000,-0.00029058,0.00074115,-0.00033205,0.00008771
1578474000000,0.00008750,0.00033997,-0.00033854,0.00007521
1578477600000,0.00000847,0.00092589,-0.00022477,0.00006271
1578481200000,0.00019462,0.00066228,-0.00036400,0.00005021
1578484800000,0.00005000,0.00036588,-0.00025409,-0.00006931
1578488400000,0.00003750,0.00063491,-0.00041401,0.00002521
1578492000000,0.00002500,0.00061520,-0.00127927,-0.00028510
1578495600000,-0.00005895,0.00110713,-0.00048491,0.00000021
1578499200000,0,0.00089529,-0.00052420,0.00008771
1578502800000,0.00033026,0.00079556,-0.00046599,0.00007521
1578506400000,-0.00022915,0.00080001,-0.00080898,0.00015297
1578510000000,0.00006250,0.00077026,-0.00086282,0.00005021
1578513600000,-0.00024197,0.00116037,-0.00063854,0.00007559
1578517200000,-0.00018757,0.00078538,-0.00099385,0.00015132
1578520800000,0.00028220,0.00112313,-0.00025443,-0.00001656
1578524400000,0.00001250,0.00098500,-0.00047905,0.00000021
1578528000000,0.00031987,0.00053171,-0.00072059,0.00008771
1578531600000,0.00001205,0.00052688,-0.00045589,0.00007521
1578535200000,0.00007500,0.00040109,-0.00042958,0.00020243
1578538800000,0.00029468,0.00029468,-0.00035706,-0.00013366
1578542400000,-0.00005204,0.00080015,-0.00054141,-0.00019710
1578546000000,-0.00000113,0.00006280,-0.00093394,-0.00063031
1578549600000,-0.00039575,0.00042012,-0.00064398,0.00001271
1578553200000,-0.00004924,0.00085593,-0.00049182,0.00000021
1578556800000,-0.00012597,0.00027697,-0.00055101,-0.00018791
1578560400000,0.00008750,0.00008750,-0.00064913,-0.00009083
