open_time,open,high,low,close
1578297600000,0.00009542,0.00009542,-0.00035521,0.00008771
1578301200000,0.00008750,0.01577476,0.00007625,0.01557577
1578304800000,0.01814139,0.04579693,0.00072416,0.01267616
1578308400000,0.01140164,0.01590726,0.00185557,0.00849602
1578312000000,0.00814083,0.01236644,0.00055011,0.00200985
1578315600000,0.00128123,0.00804629,0.00098583,0.00156564
1578319200000,0.00379748,0.00485583,-0.00050180,0.00139341
1578322800000,0.00073531,0.00304115,-0.00210291,0.00000021
1578326400000,-0.00070666,0.00095685,-0.01467303,-0.00244514
1578330000000,-0.00182162,0.00191564,-0.00361410,-0.00186857
1578333600000,-0.00136925,0.00093544,-0.00200208,-0.00145601
1578337200000,-0.00141707,0.00277487,-0.00230023,0.00012026
1578340800000,-0.00005427,0.00679349,-0.00104323,0.00236207
1578344400000,0.00182958,0.00595542,-0.00241515,0.00122989
1578348000000,0.00005899,0.02074398,-0.00264403,0.01186721
1578351600000,0.01287613,0.01761422,0.00147526,0.00155663
1578355200000,0,0.01465175,0,0.00158621
1578358800000,0.00310237,0.01058446,0.00157114,0.00562129
1578362400000,0.00517010,0.00793833,0.00113408,0.00113408
1578366000000,0.00113032,0.00309871,-0.00040768,-0.00039236
1578369600000,-0.00043866,0.00088541,-0.01427310,-0.00213723
1578373200000,-0.00291586,-0.00015461,-0.00369617,-0.00184653
1578376800000,-0.00230279,0.00039938,-0.00291018,-0.00070524
1578380400000,-0.00065700,0.00007912,-0.00191612,-0.00014891
1578384000000,0,0.00074849,-0.00015769,0.00040013
1578387600000,0.00065630,0.00129332,-0.00044858,0.00056410
1578391200000,0.00056254,0.00169374,0.00047035,0.00047035
1578394800000,0.00046878,0.00297750,0.00037659,0.00037659
1578398400000,0.00072284,0.00207130,0.00028596,0.00063907
1578402000000,0.00227623,0.00437981,-0.00031118,0.00018908
1578405600000,0.00018751,0.00301435,-0.00034323,0.00066506
1578409200000,0.00205713,0.00319599,0.00000156,0.00000156
1578412800000,0,0.00157915,0,0.00123207
1578416400000,0.00079384,0.00349048,0.00016838,0.00092935
1578420000000,0.00112400,0.00267436,-0.00010098,0.00128036
1578423600000,0.00013916,0.00106991,-0.00083120,0.00011179
1578427200000,0.00011133,0.00191186,0.00008396,0.00008396
1578430800000,0.00008350,0.00129089,-0.00078757,0.00005613
1578434400000,0.00005566,0.00154729,-0.00258137,0.00002830
1578438000000,0.00002783,0.00216553,0.00000046,0.00000046
1578441600000,0,0.00475375,0,0.00357207
1578445200000,0.00400574,0.00973719,0.00037183,0.00394577
1578448800000,0.00316780,0.00615451,0.00137946,0.00138930
1578452400000,0.00211972,0.00501842,0.00005646,0.00501842
1578456000000,0.00541425,0.00541425,0.00076952,0.00182940
1578459600000,0.00218127,0.00258814,-0.00027324,0.00227838
1578463200000,0.00230607,0.00230607,0.00001271,0.00001271
1578466800000,0.00001663,0.00173283,0.00000042,0.00032356
1578470400000,0.00007738,0.00248268,0.00007738,0.00187648
1578474000000,0.00237898,0.00439765,0.00105421,0.00131379
1578477600000,0.00104262,0.00623539,0.00082193,0.00132322
1578481200000,0.00149003,0.00177975,0.00058296,0.00170565
1578484800000,0.00149775,0.00247071,-0.00034183,0.00126684
1578488400000,0.00052131,0.00252429,0.00035044,0.00035044
1578492000000,0.00034754,0.00223954,0.00017667,0.00017667
1578495600000,0.00017377,0.00161626,-0.00033358,0.00000290
1578499200000,0,0.00065594,-0.00165998,0.00057652
1578502800000,0.00057515,0.00156705,-0.00045283,0.00049435
1578506400000,0.00095670,0.00095670,0.00041219,0.00041219
1578510000000,0.00041082,0.00064271,-0.00024056,0.00033003
1578513600000,0.00032866,0.00219211,-0.00091272,0.00112929
1578517200000,0.00110508,0.00134752,0.00016981,0.00026652
1578520800000,0.00016433,0.00301516,0.00012462,0.00263422
1578524400000,0.00227112,0.00292888,0.00002328,0.00032446
1578528000000,0.00051899,0.00088212,-0.00004631,0.00008771
1578531600000,0.00081670,0.00087013,-0.00080432,0.00007521
1578535200000,0.00007500,0.00171314,-0.00044430,0.00006271
