address,coin,szi,entryPx,positionValue,unrealizedPnl,leverage_type,leverage,liquidationPx
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,SUPER,-23865.0,0.20399,4168.97685,699.260103,cross,3,10.1797372646
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,RSR,-1586692.0,0.00155,2786.231152,-326.238194,cross,3,0.1522391769
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,PEOPLE,-425683.0,0.010205,4012.062275,332.068567,cross,3,0.5703364129
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,STRK,-106968.8,0.03079,4184.619456,-890.478677,cross,5,2.4065522748
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,ETHFI,-12027.6,0.67666,8191.156428,-52.538019,cross,5,21.7360525742
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,ENA,1121.0,0.19511,247.234308,28.515998,cross,10,
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,TURBO,-11035970.0,0.000878,11753.30805,-2057.345055,cross,3,0.0227006562
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,BRETT,-4153767.0,0.005384,23269.402734,-904.40726,cross,3,0.0630848711
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,HYPE,241.46,25.5701,22488.13564,16313.967194,cross,10,
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,VIRTUAL,-16566.3,0.72736,12354.980877,-305.219671,cross,5,16.0323289081
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,FARTCOIN,13528.1,0.16098,2547.205949,369.376888,cross,10,
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,AIXBT,-50130.0,0.022043,1137.09879,-32.069348,cross,3,4.7857081939
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,BIO,-655395.0,0.028194,20338.873035,-1860.077019,cross,3,0.3953483411
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,SPX,-9047.1,0.48617,3977.014689,421.42999,cross,5,28.4310336133
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,MORPHO,-189.2,2.61434,532.52232,-37.888001,cross,5,1341.2997454257
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,ANIME,-243246.0,0.004052,825.576924,160.23177,cross,3,0.9849947374
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,VVV,-684.98,30.0054,21544.67594,-991.519377,cross,3,380.0331818602
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,BERA,305.5,0.20438,69.375995,6.937905,cross,5,
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,ZORA,-1322127.0,0.008768,11817.171126,-224.251553,cross,3,0.1895337014
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,SYRUP,-9495.0,0.216112,2067.8211,-15.831315,cross,3,25.3647471375
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,PUMP,7388070.0,0.002397,28628.77125,10912.581372,cross,10,
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,AVNT,-132216.0,0.112286,15277.5588,-431.544694,cross,5,2.0309111478
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,ZEC,24.09,509.8883,37201.081269,24917.870841,cross,10,
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,MON,12010.0,0.022626,301.52306,29.7848,cross,5,
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,MEGA,-442331.0,0.045144,19990.264883,-21.283606,cross,3,0.5849934051
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,AERO,-175069.0,0.657502,122098.37267,-6990.029991,cross,3,2.061294836
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,LIT,102.0,2.556903,536.571,275.7668,cross,5,
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,XMR,-0.026,377.069,14.55662,-4.752813,cross,5,9740613.3128671329
