address,display_name,account_value,day_pnl,day_roi,day_vlm,week_pnl,week_roi,week_vlm,month_pnl,month_roi,month_vlm,allTime_pnl,allTime_roi,allTime_vlm,vlm_to_acct
0x8ab13dbc3d2ab5ea4c4b37f40696254a730015ef,,3618451.436853,365027.742999,0.1121980342,5775005.61,1968132.713034,1.1925773395,64803449.52,1758491.565708,1.1242603559,297510345.6,-1019616.823866,-0.2348135385,1103096810.34,304.9
0x9f84ee298a33cf4304af318e18cd23ac5fcf5648,,529096.284034,0.00024,5e-10,0.0,0.066218,1.252e-07,0.0,80116.138914,0.1784402713,7010932.07,131047.284034,0.3292240001,13843695.26,26.2
0xcf5ab177696de98f522e60a89eab68dacbec8fd0,,483234.316259,818.220173,0.0081329415,0.0,54387.332753,0.1268222346,9760.27,74602.692804,0.1825671057,2699562.33,203271.636259,0.5705743715,63810038.93,132.0
0x0224311fa86aa728c943718fd71584628133543b,,80275.184563,269.083281,0.0033632845,0.0,-624.03856,-0.0077137769,536759.12,-341.903928,-0.0042402961,4179980.35,-23407.965437,-0.2257317555,18444665.17,229.8
0x0682f4ee106d167ca46ed015918e83f6f4e5b571,,2498413.321967,96268.818248,0.0400761978,0.0,580687.137582,0.3027998169,460812.83,805604.562392,0.4758981532,3468144.44,908206.131967,0.571124403,158664378.43,63.5
0xbcb881aa8d0b3e786d00d0ae83c52e0ed078dcc3,,195749.607627,2343.33871,0.0121161466,350127.9,31551.462489,0.1921548046,2514513.24,46038.941192,0.3075194459,5455585.55,159184.577627,1.1327011812,17220019.38,88.0
0x065612c177776f3c635dff181edf170f9c196a05,,206368.34667,-9577.231586,-0.0443296811,0.0,5526.244428,0.0275016752,615017.59,-19769.090863,-0.0492654181,2154598.08,-652914.9049480001,-0.7281809393,219502366.91,1063.6
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,,7195519.070918,-127938.669384,-0.1242631729,2221052.73,1107679.248301,0.1761621287,34056745.5,1993361.922252,0.2595259847,84609395.84,6972047.980918,1.6623110136,198609918.14,27.6
0xe99ade466b7f62a0689f93151c8293320e61eba8,,119445.412257,1508.025536,0.0554758107,89157.55,1156.818023,0.0097796244,787106.55,-87688.244195,-0.4233413618,8290425.48,-59258.575444,-0.3316018969,24951708.34,208.9
0x18b7e4f0037831150e93a427c39b6c96396aa6b4,,21714.658703,243.253961,0.0113292057,296848.94,-239.715754,-0.010918815,2282643.2,986.462403,0.0475903638,4521920.22,8943.088703,0.6053843474,14579303.34,671.4
0x1e0b469b0f10f59bd6c76a010c4b0dd24742b1ef,,1504802.866997,14839.967757,0.0147346598,423919.98,285914.50595,0.2345698877,1325270.36,505949.880544,0.5065308783,1742402.21,1118074.323326,2.8253568762,15616678.79,10.4
0x2f9beb4d627ec674e76989e672cac0ab06711118,,2442161.3210279997,14638.042927,0.0060297836,10065.3,279415.288594,0.1291887099,2839316.13,268903.97157,0.0717608022,39346892.32,-208084.128972,-0.0492598398,81340504.72999999,33.3
0x8de78b26d1dc704fc3b981a09bfce93ccfe0c3d1,,38298.89045,509.27804,0.0074781303,17930.23,561.909104,0.0068778175,869022.11,-630.52809,-0.0052079025,1430098.0799999996,-52160.46955,-0.2786205201,31359302.169999998,818.8
0xd94d0db6c59f7e6fe3d77cec69aa817121b40096,,39320.258903,-1231.196066,-0.030361329,129411.77,4008.276683,0.1135103846,754126.76,1755.768729,0.041565343,2373872.98,36453.528903,2.4090930595,26803378.92,681.7
0x6cd4af7ff851f524042feb123ec40d7ce8a27b4a,,115219.245018,1733.243912,0.0152727552,0.0,1987.008231,0.0174073425,192141.96,18867.546572,0.1939765172,4022814.81,43307.315018,0.377437635,20204856.57,175.4
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,,589054.12829,3483.368911,0.0059486729,67235.05,54508.827763,0.1019723262,1012989.68,40469.426348,0.0737706068,3807939.69,90583.71829,0.1781897399,38363624.42,65.1
0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,,7372071.413519,1003.955338,0.0001362022,0.0,-278917.839349,-0.0364551341,32820418.15,2672.443077,0.0003626406,44524690.97,-8421881.406481,-0.348395237,717705095.25,97.4
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,,208293.285623,-2583.606874,-0.0122517306,1233872.88,-11203.499021,-0.0510417455,2572239.3,-24438.401625,-0.1050067651,6064344.75,-66859.664377,-0.2429909052,13575567.24,65.2
0xa4622b0b9aaa7690de51ac3044744dbe82a79df8,,98161.203166,-56.425178,-0.0005744914,443791.17,-2666.25381,-0.0264437276,5404555.35,-21625.19055,-0.1805312764,17849611.99,-21188.376834,-0.1775320603,38540944.63,392.6
0xc985ffc27c59537c81e40e7b4fb3267fdaa9f97e,,287666.139051,-5066.879039,-0.0881254083,841633.66,31346.617749,0.2742634615,6585845.03,-17752.746651,-0.0472878138,35637188.32,-136795.47571,-0.2766553017,68088220.17,236.7
0x0aa0c3ac0151c42537fdb3cb6a2f37b9251a6c6c,,268773.581815,3605.007459,0.0135951535,25517.32,34589.231956,0.1477008689,866633.11,84118.744211,0.455545846,2024043.05,106920.311815,0.6606002574,24981464.79,92.9
0x68a82030ee49af0dd0d1880da1aa18e0e97f003c,,186120.742437,-8055.684028,-0.0414864161,0.0,11162.939734,0.0638036119,3945777.03,9064.365785,0.0511948,5399194.91,113219.632437,1.3565194731,31014002.52,166.6
0xc08ccfde966aebe1a1d167c9246d0477bbb4aa82,,22499.296724,1779.906011,0.0859053259,1565130.25,20337.971166,9.4099526518,2484399.21,13239.290293,1.4297279804,8689446.11,10433.336724,0.8646918044,15509858.6,689.3
0x913b6bfaffcc18db65dc9a6bdde6cd5365e0ef92,,45809.093804,0.0,0.0,0.0,335.451535,0.0073768345,74125.73,-101700.261715,-0.6894495699,27046102.95,-65164.306196,-0.5617651346,73295781.75,1600.0
0x7fa77093e83c9292c2357ea799ac2c57ec138203,,2869962.385776,941.267484,0.0002906441,0.0,293313.403575,0.0995570222,4941113.57,482195.35249,0.1306216211,27947581.52,4974487.105776,3.8600615243,316826556.8,110.4
0x418aa6bf98a2b2bc93779f810330d88cde488888,,6566566.669236,-238629.012955,-0.0350657092,4251753.58,-2202703.364158,-0.2511843467,25161201.38,-1810788.232832,-0.216152742,60656909.87,32620234.379236,2.3277322567,1075105529.73,163.7
0xb277d98b101af4f1a1c7fe6d443f6993f1904237,,227926.358093,0.0,0.0,0.0,0.0,0.0,0.0,-9008.34058,-0.1430384145,1108625.81,10454.338093,0.0480721064,23460549.2,102.9
0x12c206d3e2f0d0059420c54d33fe604ebbecc230,,2536898.48923,0.0,0.0,64646.74,55474.265685,0.022354916,283878.04,68718.334971,0.0278405735,1663407.14,862173.38923,0.5143646085,100468594.97,39.6
